Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Paid_Date,Invoice_Value,Payment_Terms,Days_Late,Invoice_Status,Reminder_Count,Disputed_Flag,Write_Off_Flag,Cash_Flow_Risk_Flag,Month,Quarter,,Extract Date
200034,C099,07/05/2025,06/06/2025,06/06/2025,973,30,0,On Time,0,,,Low,May,2025,,
200035,C100,07/05/2025,06/06/2025,05/08/2025,3058,30,60,Seriously Late,2,Yes,,High,May,2025,,
200036,C081,07/05/2025,06/06/2025,06/06/2025,2597,30,0,On Time,0,,,Low,May,2025,,
200037,C082,07/05/2025,06/06/2025,,426,30,,Seriously Late,3,Yes,Yes,Low,May,2025,,
200038,C083,07/05/2025,06/06/2025,09/06/2025,4740,30,3,Paid Late,0,,,Low,May,2025,,
200039,C084,08/05/2025,07/06/2025,08/06/2025,4845,30,1,Paid Late,0,,,Low,May,2025,,
200040,C085,08/05/2025,07/06/2025,06/06/2025,2678,30,0,On Time,0,,,Low,May,2025,,
200041,C086,08/05/2025,07/06/2025,07/06/2025,2589,30,0,On Time,0,,,Low,May,2025,,
200042,C087,08/05/2025,07/06/2025,02/06/2025,3927,30,0,On Time,0,,,Low,May,2025,,
200043,C088,08/05/2025,07/06/2025,12/07/2025,2437,30,35,Seriously Late,1,,,High,May,2025,,
200044,C089,08/05/2025,07/06/2025,21/08/2025,1299,30,75,Seriously Late,2,,,High,May,2025,,
200045,C066,08/05/2025,07/07/2025,12/07/2025,1048,60,5,Paid Late,0,,,Low,May,2025,,
200046,C067,08/05/2025,07/06/2025,07/06/2025,5762,30,0,On Time,0,,,Low,May,2025,,
200047,C068,08/05/2025,07/06/2025,06/06/2025,558,30,0,On Time,0,,,Low,May,2025,,
200048,C069,08/05/2025,07/06/2025,07/06/2025,2849,30,0,On Time,0,,,Low,May,2025,,
200049,C070,09/05/2025,08/06/2025,10/07/2025,4972,30,32,Seriously Late,1,,,High,May,2025,,
200050,C071,09/05/2025,08/06/2025,23/06/2025,4743,30,15,Paid Late,0,,,Medium,May,2025,,
200051,C072,09/05/2025,08/06/2025,08/06/2025,3530,30,0,On Time,0,,,Low,May,2025,,
200052,C073,09/05/2025,08/06/2025,06/06/2025,977,30,0,On Time,0,,,Low,May,2025,,
200053,C074,09/05/2025,08/06/2025,08/06/2025,206,30,0,On Time,0,,,Low,May,2025,,
200054,C075,09/05/2025,08/06/2025,10/06/2025,4657,30,2,Paid Late,0,,,Low,May,2025,,
200055,C076,12/05/2025,26/06/2025,28/06/2025,2013,45,2,Paid Late,0,,,Low,May,2025,,
200056,C049,12/05/2025,11/06/2025,13/06/2025,758,30,2,Paid Late,0,,,Low,May,2025,,
200057,C050,12/05/2025,11/06/2025,11/06/2025,762,30,0,On Time,0,,,Low,May,2025,,
200058,C051,12/05/2025,11/06/2025,01/07/2025,19795,30,20,Seriously Late,0,,,Medium,May,2025,,
200059,C052,12/05/2025,11/06/2025,11/06/2025,1167,30,0,On Time,0,,,Low,May,2025,,
200060,C053,12/05/2025,11/06/2025,12/06/2025,1337,30,1,Paid Late,0,,,Low,May,2025,,
200061,C054,12/05/2025,26/06/2025,26/06/2025,4109,45,0,On Time,0,,,Low,May,2025,,
200062,C055,12/05/2025,26/06/2025,26/06/2025,3872,45,0,On Time,0,,,Low,May,2025,,
200063,C056,12/05/2025,11/07/2025,16/07/2025,3177,60,5,Paid Late,0,,,Low,May,2025,,
200064,C057,12/05/2025,11/06/2025,13/06/2025,2688,30,2,Paid Late,0,,,Low,May,2025,,
200065,C025,12/05/2025,26/06/2025,26/06/2025,1692,45,0,On Time,0,,,Low,May,2025,,
200066,C026,12/05/2025,26/06/2025,26/06/2025,7497,45,0,On Time,0,,,Low,May,2025,,
200067,C027,13/05/2025,12/07/2025,12/07/2025,3097,60,0,On Time,0,,,Low,May,2025,,
200068,C028,13/05/2025,12/07/2025,10/09/2025,3234,60,60,Seriously Late,2,,,High,May,2025,,
200069,C029,13/05/2025,27/06/2025,27/06/2025,1657,45,0,On Time,0,,,Low,May,2025,,
200070,C030,13/05/2025,12/06/2025,12/06/2025,2561,30,0,On Time,0,,,Low,May,2025,,
200071,C031,13/05/2025,12/06/2025,15/06/2025,4806,30,3,Paid Late,0,,,Low,May,2025,,
200072,C032,13/05/2025,12/06/2025,13/06/2025,4914,30,1,Paid Late,0,,,Low,May,2025,,
200073,C033,13/05/2025,12/06/2025,11/06/2025,1070,30,0,On Time,0,,,Low,May,2025,,
200074,C034,13/05/2025,12/06/2025,12/06/2025,3952,30,0,On Time,0,,,Low,May,2025,,
200075,C035,13/05/2025,12/06/2025,13/06/2025,4257,30,1,Paid Late,0,,,Low,May,2025,,
200076,C017,13/05/2025,12/06/2025,17/07/2025,3923,30,35,Seriously Late,1,,,High,May,2025,,
200077,C018,14/05/2025,13/06/2025,17/08/2025,4258,30,65,Seriously Late,2,,,High,May,2025,,
200078,C019,14/05/2025,13/06/2025,18/06/2025,19884,30,5,Paid Late,0,,,Low,May,2025,,
200079,C020,14/05/2025,13/06/2025,13/06/2025,713,30,0,On Time,0,,,Low,May,2025,,
200080,C021,14/05/2025,13/06/2025,12/06/2025,4722,30,0,On Time,0,,,Low,May,2025,,
200081,C022,14/05/2025,13/06/2025,13/06/2025,3892,30,0,On Time,0,,,Low,May,2025,,
200082,C023,14/05/2025,13/06/2025,15/07/2025,3836,30,32,Seriously Late,1,,,High,May,2025,,
200083,C024,14/05/2025,13/06/2025,28/06/2025,14181,30,15,Paid Late,0,,,Medium,May,2025,,
200084,C025,14/05/2025,28/06/2025,26/06/2025,1737,45,0,On Time,0,,,Low,May,2025,,
200085,C001,14/05/2025,13/06/2025,11/06/2025,19580,30,0,On Time,0,,,Low,May,2025,,
200086,C002,14/05/2025,13/06/2025,13/06/2025,4215,30,0,On Time,0,,,Low,May,2025,,
200087,C003,14/05/2025,13/06/2025,15/06/2025,2092,30,2,Paid Late,0,,,Low,May,2025,,
200088,C004,14/05/2025,28/06/2025,30/06/2025,1783,45,2,Paid Late,0,,,Low,May,2025,,
200089,C005,15/05/2025,29/06/2025,01/07/2025,14921,45,2,Paid Late,0,,,Low,May,2025,,
200090,C006,15/05/2025,14/07/2025,14/07/2025,3516,60,0,On Time,0,,,Low,May,2025,,
200091,C007,15/05/2025,14/06/2025,04/07/2025,672,30,20,Seriously Late,0,,,Medium,May,2025,,
200092,C008,15/05/2025,14/07/2025,14/07/2025,2793,60,0,On Time,0,,,Low,May,2025,,
200093,C009,15/05/2025,14/06/2025,15/06/2025,3295,30,1,Paid Late,0,,,Low,May,2025,,
200094,C010,15/05/2025,14/06/2025,14/06/2025,3024,30,0,On Time,0,,,Low,May,2025,,
200095,C056,15/05/2025,14/07/2025,14/07/2025,619,60,0,On Time,0,,,Low,May,2025,,
200096,C057,15/05/2025,14/06/2025,19/06/2025,4207,30,5,Paid Late,0,,,Low,May,2025,,
200097,C058,18/05/2025,17/06/2025,19/06/2025,3862,30,2,Paid Late,0,,,Low,May,2025,,
200098,C059,18/05/2025,17/06/2025,22/06/2025,3606,30,5,Paid Late,0,,,Low,May,2025,,
200099,C060,18/05/2025,17/06/2025,17/06/2025,1412,30,0,On Time,0,,,Low,May,2025,,
200100,C061,18/05/2025,17/06/2025,17/06/2025,687,30,0,On Time,0,,,Low,May,2025,,
200101,C062,18/05/2025,17/06/2025,16/08/2025,2356,30,60,Seriously Late,2,,,High,May,2025,,
200102,C063,18/05/2025,02/07/2025,02/07/2025,4734,45,0,On Time,0,,,Low,May,2025,,
200103,C064,18/05/2025,02/07/2025,,3054,45,0,Seriously Late,3,Yes,Yes,Low,May,2025,,
200104,C065,18/05/2025,17/07/2025,20/07/2025,3089,60,3,Paid Late,0,,,Low,May,2025,,
200105,C073,18/05/2025,17/06/2025,18/06/2025,10021,30,1,Paid Late,0,,,Low,May,2025,,
200106,C074,18/05/2025,17/06/2025,16/06/2025,4229,30,0,On Time,0,,,Low,May,2025,,
200107,C075,18/05/2025,17/06/2025,17/06/2025,377,30,0,On Time,0,,,Low,May,2025,,
200108,C076,18/05/2025,02/07/2025,27/06/2025,4932,45,0,On Time,0,,,Low,May,2025,,
200109,C077,19/05/2025,18/07/2025,22/08/2025,16111,60,35,Seriously Late,1,,,High,May,2025,,
200110,C078,19/05/2025,18/06/2025,01/09/2025,3245,30,75,Seriously Late,2,,,High,May,2025,,
200111,C079,19/05/2025,18/06/2025,23/06/2025,14920,30,5,Paid Late,0,,,Low,May,2025,,
200112,C080,19/05/2025,18/06/2025,18/06/2025,9539,30,0,On Time,0,,,Low,May,2025,,
200113,C081,19/05/2025,18/06/2025,17/06/2025,2615,30,0,On Time,0,,,Low,May,2025,,
200114,C082,19/05/2025,18/06/2025,18/06/2025,1929,30,0,On Time,0,,,Low,May,2025,,
200115,C083,19/05/2025,18/06/2025,20/07/2025,766,30,32,Seriously Late,1,,,High,May,2025,,
200116,C019,19/05/2025,18/06/2025,03/07/2025,3688,30,15,Paid Late,0,,,Medium,May,2025,,
200117,C020,19/05/2025,18/06/2025,18/06/2025,4447,30,0,On Time,0,,,Low,May,2025,,
200118,C021,19/05/2025,18/06/2025,16/06/2025,1293,30,0,On Time,0,,,Low,May,2025,,
200119,C022,19/05/2025,18/06/2025,18/06/2025,2534,30,0,On Time,0,,,Low,May,2025,,
200120,C023,19/05/2025,18/06/2025,20/06/2025,1326,30,2,Paid Late,0,,,Low,May,2025,,
200121,C024,19/05/2025,18/06/2025,20/06/2025,3497,30,2,Paid Late,0,,,Low,May,2025,,
200122,C025,20/05/2025,04/07/2025,06/07/2025,17565,45,2,Paid Late,0,,,Low,May,2025,,
200123,C077,20/05/2025,19/07/2025,19/07/2025,3681,60,0,On Time,0,,,Low,May,2025,,
200124,C078,20/05/2025,19/06/2025,09/07/2025,2382,30,20,Seriously Late,0,,,Medium,May,2025,,
200125,C079,20/05/2025,19/06/2025,19/06/2025,3056,30,0,On Time,0,,,Low,May,2025,,
200126,C080,20/05/2025,19/06/2025,20/06/2025,4850,30,1,Paid Late,0,,,Low,May,2025,,
200127,C081,20/05/2025,19/06/2025,19/06/2025,4962,30,0,On Time,0,,,Low,May,2025,,
200128,C082,20/05/2025,19/06/2025,19/06/2025,601,30,0,On Time,0,,,Low,May,2025,,
200129,C083,20/05/2025,19/06/2025,24/06/2025,183,30,5,Paid Late,0,,,Low,May,2025,,
200130,C084,20/05/2025,19/06/2025,21/06/2025,2734,30,2,Paid Late,0,,,Low,May,2025,,
200131,C085,20/05/2025,19/06/2025,19/06/2025,9914,30,0,On Time,0,,,Low,May,2025,,
200132,C086,20/05/2025,19/06/2025,19/06/2025,4710,30,0,On Time,0,,,Low,May,2025,,
200133,C087,20/05/2025,19/06/2025,19/06/2025,2113,30,0,On Time,0,,,Low,May,2025,,
200134,C088,20/05/2025,19/06/2025,18/08/2025,4832,30,60,Seriously Late,2,,,High,May,2025,,
200135,C037,20/05/2025,04/07/2025,04/07/2025,1059,45,0,On Time,0,,,Low,May,2025,,
200136,C038,20/05/2025,19/07/2025,19/07/2025,761,60,0,On Time,0,,,Low,May,2025,,
200137,C039,21/05/2025,20/06/2025,23/06/2025,1316,30,3,Paid Late,0,,,Low,May,2025,,
200138,C040,21/05/2025,20/06/2025,21/06/2025,1776,30,1,Paid Late,0,,,Low,May,2025,,
200139,C041,21/05/2025,20/06/2025,19/06/2025,829,30,0,On Time,0,,,Low,May,2025,,
200140,C042,21/05/2025,20/06/2025,20/06/2025,3434,30,0,On Time,0,,,Low,May,2025,,
200141,C043,21/05/2025,20/06/2025,21/06/2025,3287,30,1,Paid Late,0,,,Low,May,2025,,
200142,C044,21/05/2025,20/06/2025,25/07/2025,4878,30,35,Seriously Late,1,,,High,May,2025,,
200143,C045,21/05/2025,20/06/2025,03/09/2025,18454,30,75,Seriously Late,2,,,High,May,2025,,
200144,C046,21/05/2025,05/07/2025,10/07/2025,612,45,5,Paid Late,0,,,Low,May,2025,,
200145,C047,21/05/2025,20/07/2025,20/07/2025,612,60,0,On Time,0,,,Low,May,2025,,
200146,C089,21/05/2025,20/06/2025,19/06/2025,802,30,0,On Time,0,,,Low,May,2025,,
200147,C090,21/05/2025,20/06/2025,20/06/2025,548,30,0,On Time,0,,,Low,May,2025,,
200148,C091,21/05/2025,05/07/2025,06/08/2025,1524,45,32,Seriously Late,1,,,High,May,2025,,
200149,C092,21/05/2025,20/07/2025,04/08/2025,3215,60,15,Paid Late,0,,,Medium,May,2025,,
200150,C093,22/05/2025,06/07/2025,04/07/2025,4579,45,0,On Time,0,,,Low,May,2025,,
200151,C094,22/05/2025,06/07/2025,04/07/2025,2966,45,0,On Time,0,,,Low,May,2025,,
200152,C095,22/05/2025,21/06/2025,21/06/2025,2082,30,0,On Time,0,,,Low,May,2025,,
200153,C096,22/05/2025,21/06/2025,23/06/2025,6147,30,2,Paid Late,0,,,Low,May,2025,,
200154,C097,22/05/2025,21/06/2025,23/06/2025,2922,30,2,Paid Late,0,,,Low,May,2025,,
200155,C001,22/05/2025,21/06/2025,23/06/2025,3181,30,2,Paid Late,0,,,Low,May,2025,,
200156,C002,22/05/2025,21/06/2025,21/06/2025,8773,30,0,On Time,0,,,Low,May,2025,,
200157,C003,22/05/2025,21/06/2025,11/07/2025,4204,30,20,Seriously Late,0,,,Medium,May,2025,,
200158,C004,22/05/2025,06/07/2025,06/07/2025,17074,45,0,On Time,0,,,Low,May,2025,,
200159,C005,22/05/2025,06/07/2025,07/07/2025,3391,45,1,Paid Late,0,,,Low,May,2025,,
200160,C006,22/05/2025,21/07/2025,21/07/2025,5847,60,0,On Time,0,,,Low,May,2025,,
200161,C007,22/05/2025,21/06/2025,21/06/2025,4947,30,0,On Time,0,,,Low,May,2025,,
200162,C008,22/05/2025,21/07/2025,26/07/2025,11149,60,5,Paid Late,0,,,Low,May,2025,,
200163,C009,22/05/2025,21/06/2025,23/06/2025,6540,30,2,Paid Late,0,,,Low,May,2025,,
200164,C010,22/05/2025,21/06/2025,26/06/2025,510,30,5,Paid Late,0,,,Low,May,2025,,
200165,C011,22/05/2025,21/06/2025,21/06/2025,607,30,0,On Time,0,,,Low,May,2025,,
200166,C012,26/05/2026,10/07/2026,10/07/2026,733,45,0,On Time,0,,,Low,May,2026,,
200167,C035,26/05/2026,25/06/2026,24/08/2026,4511,30,60,Seriously Late,2,,,High,May,2026,,
200168,C036,26/05/2026,25/06/2026,25/06/2026,2485,30,0,On Time,0,,,Low,May,2026,,
200169,C037,26/05/2026,10/07/2026,,1928,45,,Seriously Late,3,Yes,Yes,High,May,2026,,
200170,C038,26/05/2026,25/07/2026,28/07/2026,3331,60,3,Paid Late,0,,,Low,May,2026,,
200171,C039,26/05/2026,25/06/2026,26/06/2026,4531,30,1,Paid Late,0,,,Low,May,2026,,
200172,C040,26/05/2026,25/06/2026,24/06/2026,1144,30,0,On Time,0,,,Low,May,2026,,
200173,C041,26/05/2026,25/06/2026,25/06/2026,2984,30,0,On Time,0,,,Low,May,2026,,
200174,C042,26/05/2026,25/06/2026,20/06/2026,2972,30,0,On Time,0,,,Low,May,2026,,
200175,C043,26/05/2026,25/06/2026,30/07/2026,3629,30,35,Seriously Late,1,,,High,May,2026,,
200176,C044,26/05/2026,25/06/2026,19/08/2026,173,30,55,Seriously Late,1,,,High,May,2026,,
200177,C045,26/05/2026,25/06/2026,30/06/2026,7716,30,5,Paid Late,0,,,Low,May,2026,,
200178,C046,26/05/2026,10/07/2026,10/07/2026,3393,45,0,On Time,0,,,Low,May,2026,,
200179,C075,26/05/2026,25/06/2026,24/06/2026,3712,30,0,On Time,0,,,Low,May,2026,,
200180,C076,26/05/2026,10/07/2026,10/07/2026,3654,45,0,On Time,0,,,Low,May,2026,,
200181,C077,26/05/2026,25/07/2026,26/08/2026,4998,60,32,Seriously Late,1,,,High,May,2026,,
200182,C078,26/05/2026,25/06/2026,10/07/2026,982,30,15,Paid Late,0,,,Medium,May,2026,,
200183,C079,26/05/2026,25/06/2026,25/06/2026,808,30,0,On Time,0,,,Low,May,2026,,
200184,C080,26/05/2026,25/06/2026,23/06/2026,753,30,0,On Time,0,,,Low,May,2026,,
200185,C081,27/05/2025,26/06/2025,26/06/2025,1888,30,0,On Time,0,,,Low,May,2025,,
200186,C082,27/05/2025,26/06/2025,28/06/2025,1121,30,2,Paid Late,0,,,Low,May,2025,,
200187,C083,27/05/2025,26/06/2025,28/06/2025,2281,30,2,Paid Late,0,,,Low,May,2025,,
200188,C084,27/05/2025,26/06/2025,28/06/2025,1245,30,2,Paid Late,0,,,Low,May,2025,,
200189,C085,27/05/2025,26/06/2025,26/06/2025,549,30,0,On Time,0,,,Low,May,2025,,
200190,C086,27/05/2025,26/06/2025,16/07/2025,4512,30,20,Seriously Late,0,,,Medium,May,2025,,
200191,C095,27/05/2025,26/06/2025,26/06/2025,2455,30,0,On Time,0,,,Low,May,2025,,
200192,C096,27/05/2025,26/06/2025,27/06/2025,4464,30,1,Paid Late,0,,,Low,May,2025,,
200193,C097,27/05/2025,26/06/2025,26/06/2025,1338,30,0,On Time,0,,,Low,May,2025,,
200194,C098,27/05/2025,26/06/2025,26/06/2025,4109,30,0,On Time,0,,,Low,May,2025,,
200195,C099,27/05/2025,26/06/2025,01/07/2025,1441,30,5,Paid Late,0,,,Low,May,2025,,
200196,C100,27/05/2025,26/06/2025,28/06/2025,2527,30,2,Paid Late,0,,,Low,May,2025,,
200197,C012,27/05/2025,11/07/2025,11/07/2025,825,45,0,On Time,0,,,Low,May,2025,,
200198,C013,27/05/2025,11/07/2025,11/07/2025,1863,45,0,On Time,0,,,Low,May,2025,,
200199,C014,27/05/2025,26/06/2025,26/06/2025,4339,30,0,On Time,0,,,Low,May,2025,,
200200,C015,27/05/2025,26/07/2025,25/09/2025,4827,60,61,Seriously Late,2,,,High,May,2025,,
200201,C016,28/05/2025,12/07/2025,12/07/2025,432,45,0,On Time,0,,,Low,May,2025,,
200202,C017,28/05/2025,27/06/2025,27/06/2025,4602,30,0,On Time,0,,,Low,May,2025,,
200203,C045,28/05/2025,27/06/2025,30/06/2025,329,30,3,Paid Late,0,,,Low,May,2025,,
200204,C046,28/05/2025,12/07/2025,13/07/2025,1102,45,1,Paid Late,0,,,Low,May,2025,,
200205,C047,28/05/2025,27/07/2025,26/07/2025,2304,60,0,On Time,0,,,Low,May,2025,,
200206,C048,28/05/2025,27/06/2025,27/06/2025,4782,30,0,On Time,0,,,Low,May,2025,,
200207,C049,28/05/2025,27/06/2025,28/06/2025,4939,30,1,Paid Late,0,,,Low,May,2025,,
200208,C050,28/05/2025,27/06/2025,01/08/2025,15221,30,35,Seriously Late,1,,,High,May,2025,,
200209,C051,28/05/2025,27/06/2025,10/09/2025,4088,30,75,Seriously Late,2,,,High,May,2025,,
200210,C052,28/05/2025,27/06/2025,02/07/2025,1720,30,5,Paid Late,0,,,Low,May,2025,,
200211,C053,28/05/2025,27/06/2025,27/06/2025,3035,30,0,On Time,0,,,Low,May,2025,,
200212,C054,28/05/2025,12/07/2025,11/07/2025,12939,45,0,On Time,0,,,Low,May,2025,,
200213,C082,28/05/2025,27/06/2025,27/06/2025,2618,30,0,On Time,0,,,Low,May,2025,,
200214,C083,28/05/2025,27/06/2025,29/07/2025,4233,30,32,Seriously Late,1,,,High,May,2025,,
200215,C084,28/05/2025,27/06/2025,12/07/2025,2803,30,15,Paid Late,0,,,Medium,May,2025,,
200216,C085,28/05/2025,27/06/2025,25/06/2025,1823,30,0,On Time,0,,,Low,May,2025,,
200217,C086,28/05/2025,27/06/2025,25/06/2025,1056,30,0,On Time,0,,,Low,May,2025,,
200218,C095,28/05/2025,27/06/2025,27/06/2025,3109,30,0,On Time,0,,,Low,May,2025,,
200219,C096,28/05/2025,27/06/2025,29/06/2025,1181,30,2,Paid Late,0,,,Low,May,2025,,
200220,C097,28/05/2025,27/06/2025,29/06/2025,4804,30,2,Paid Late,0,,,Low,May,2025,,
200221,C098,28/05/2025,27/06/2025,29/06/2025,1997,30,2,Paid Late,0,,,Low,May,2025,,
200222,C099,28/05/2025,27/06/2025,27/06/2025,7536,30,0,On Time,0,,,Low,May,2025,,
200223,C100,28/05/2025,27/06/2025,17/07/2025,820,30,20,Seriously Late,0,,,Medium,May,2025,,
200224,C012,28/05/2025,12/07/2025,12/07/2025,3214,45,0,On Time,0,,,Low,May,2025,,
200225,C013,28/05/2025,12/07/2025,13/07/2025,19736,45,1,Paid Late,0,,,Low,May,2025,,
200226,C014,28/05/2025,27/06/2025,27/06/2025,1998,30,0,On Time,0,,,Low,May,2025,,
200227,C015,29/05/2025,28/07/2025,28/07/2025,3723,60,0,On Time,0,,,Low,May,2025,,
200228,C016,29/05/2025,13/07/2025,18/07/2025,2732,45,5,Paid Late,0,,,Low,May,2025,,
200229,C017,29/05/2025,28/06/2025,30/06/2025,488,30,2,Paid Late,0,,,Low,May,2025,,
200230,C045,29/05/2025,28/06/2025,03/07/2025,138,30,5,Paid Late,0,,,Low,May,2025,,
200231,C026,29/05/2025,13/07/2025,13/07/2025,3306,45,0,On Time,0,,,Low,May,2025,,
200232,C027,29/05/2025,28/07/2025,28/07/2025,2583,60,0,On Time,0,,,Low,May,2025,,
200233,C095,29/05/2025,28/06/2025,27/08/2025,1440,30,60,Seriously Late,2,,,High,May,2025,,
200234,C096,29/05/2025,28/06/2025,28/06/2025,2362,30,0,On Time,0,,,Low,May,2025,,
200235,C097,29/05/2025,28/06/2025,,4394,30,0,On Time,0,,,Low,May,2025,,
200236,C098,29/05/2025,28/06/2025,01/07/2025,348,30,3,Paid Late,0,,,Low,May,2025,,
200237,C099,29/05/2025,28/06/2025,29/06/2025,3633,30,1,Paid Late,0,,,Low,May,2025,,
200238,C100,29/05/2025,28/06/2025,27/06/2025,987,30,0,On Time,0,,,Low,May,2025,,
200239,C081,29/05/2025,28/06/2025,28/06/2025,1432,30,0,On Time,0,,,Low,May,2025,,
200240,C082,29/05/2025,28/06/2025,23/06/2025,1161,30,0,On Time,0,,,Low,May,2025,,
200241,C083,29/05/2025,28/06/2025,02/08/2025,2637,30,35,Seriously Late,1,,,High,May,2025,,
200242,C084,29/05/2025,28/06/2025,11/09/2025,5349,30,75,Seriously Late,2,,,High,May,2025,,
200243,C085,29/05/2025,28/06/2025,03/07/2025,1667,30,5,Paid Late,0,,,Low,May,2025,,
200244,C086,29/05/2025,28/06/2025,28/06/2025,2023,30,0,On Time,0,,,Low,May,2025,,
200245,C067,29/05/2025,28/06/2025,27/06/2025,1164,30,0,On Time,0,,,Low,May,2025,,
200246,C068,29/05/2025,28/06/2025,28/06/2025,4038,30,0,On Time,0,,,Low,May,2025,,
200247,C069,29/05/2025,28/06/2025,30/07/2025,3964,30,32,Seriously Late,1,,,High,May,2025,,
200248,C070,30/05/2025,29/06/2025,14/07/2025,4959,30,15,Paid Late,0,,,Medium,May,2025,,
200249,C071,30/05/2025,29/06/2025,29/06/2025,766,30,0,On Time,0,,,Low,May,2025,,
200250,C072,30/05/2025,29/06/2025,27/06/2025,3115,30,0,On Time,0,,,Low,May,2025,,
200251,C073,30/05/2025,29/06/2025,29/06/2025,403,30,0,On Time,0,,,Low,May,2025,,
200252,C074,30/05/2025,29/06/2025,01/07/2025,2772,30,2,Paid Late,0,,,Low,May,2025,,
200253,C075,30/05/2025,29/06/2025,01/07/2025,608,30,2,Paid Late,0,,,Low,May,2025,,
200254,C076,30/05/2025,14/07/2025,16/07/2025,3977,45,2,Paid Late,0,,,Low,May,2025,,
200255,C049,30/05/2025,29/06/2025,29/06/2025,4309,30,0,On Time,0,,,Low,May,2025,,
200256,C050,30/05/2025,29/06/2025,19/07/2025,3711,30,20,Seriously Late,0,,,Medium,May,2025,,
200257,C051,30/05/2025,29/06/2025,29/06/2025,768,30,0,On Time,0,,,Low,May,2025,,
200258,C052,30/05/2025,29/06/2025,30/06/2025,2488,30,1,Paid Late,0,,,Low,May,2025,,
200259,C053,30/05/2025,29/06/2025,29/06/2025,3606,30,0,On Time,0,,,Low,May,2025,,
200260,C054,30/05/2025,14/07/2025,14/07/2025,2303,45,0,On Time,0,,,Low,May,2025,,
200261,C055,30/05/2025,14/07/2025,19/07/2025,1942,45,5,Paid Late,0,,,Low,May,2025,,
200262,C026,30/05/2025,14/07/2025,16/07/2025,1634,45,2,Paid Late,0,,,Low,May,2025,,
200263,C027,02/06/2025,01/08/2025,01/08/2025,17825,60,0,On Time,0,,,Low,Jun,2025,,
200264,C028,02/06/2025,01/08/2025,01/08/2025,2225,60,0,On Time,0,,,Low,Jun,2025,,
200265,C029,02/06/2025,17/07/2025,17/07/2025,675,45,0,On Time,0,,,Low,Jun,2025,,
200266,C030,02/06/2025,02/07/2025,31/08/2025,6413,30,60,Seriously Late,2,,,High,Jun,2025,,
200267,C031,02/06/2025,02/07/2025,02/07/2025,1751,30,0,On Time,0,,,Low,Jun,2025,,
200268,C032,02/06/2025,02/07/2025,02/07/2025,2663,30,0,On Time,0,,,Low,Jun,2025,,
200269,C033,02/06/2025,02/07/2025,05/07/2025,632,30,3,Paid Late,0,,,Low,Jun,2025,,
200270,C034,02/06/2025,02/07/2025,03/07/2025,3087,30,1,Paid Late,0,,,Low,Jun,2025,,
200271,C035,02/06/2025,02/07/2025,01/07/2025,2397,30,0,On Time,0,,,Low,Jun,2025,,
200272,C017,02/06/2025,02/07/2025,02/07/2025,3143,30,0,On Time,0,,,Low,Jun,2025,,
200273,C018,02/06/2025,02/07/2025,03/07/2025,364,30,1,Paid Late,0,,,Low,Jun,2025,,
